field_key,field_label,depends_on,parent_value,option_value,option_label,required,filterable,allow_custom,lazy,unit,sort_order,active
product_type,Product type,,,Console,Console,true,true,true,true,,10,true
product_type,Product type,,,Handheld Console,Handheld Console,true,true,true,true,,11,true
product_type,Product type,,,Controller,Controller,true,true,true,true,,12,true
product_type,Product type,,,Game,Game,true,true,true,true,,13,true
product_type,Product type,,,VR Headset,VR Headset,true,true,true,true,,14,true
product_type,Product type,,,Gaming Accessory,Gaming Accessory,true,true,true,true,,15,true
product_type,Product type,,,Other,Other,true,true,true,true,,16,true
brand,Brand,,,playstation,PlayStation,true,true,true,true,,10,true
brand,Brand,,,xbox,Xbox,true,true,true,true,,11,true
brand,Brand,,,nintendo,Nintendo,true,true,true,true,,12,true
brand,Brand,,,valve,Valve,true,true,true,true,,13,true
brand,Brand,,,meta,Meta,true,true,true,true,,14,true
model,Model,brand,playstation,PlayStation 5 Pro,PlayStation 5 Pro,true,true,true,true,,10,true
model,Model,brand,playstation,PlayStation 5 Slim Disc Edition,PlayStation 5 Slim Disc Edition,true,true,true,true,,11,true
model,Model,brand,playstation,PlayStation 5 Slim Digital Edition,PlayStation 5 Slim Digital Edition,true,true,true,true,,12,true
model,Model,brand,playstation,PlayStation 5 Disc Edition,PlayStation 5 Disc Edition,true,true,true,true,,13,true
model,Model,brand,playstation,PlayStation 5 Digital Edition,PlayStation 5 Digital Edition,true,true,true,true,,14,true
model,Model,brand,playstation,PlayStation 4 Pro,PlayStation 4 Pro,true,true,true,true,,15,true
model,Model,brand,playstation,PlayStation 4 Slim,PlayStation 4 Slim,true,true,true,true,,16,true
model,Model,brand,xbox,Xbox Series X 2TB,Xbox Series X 2TB,true,true,true,true,,10,true
model,Model,brand,xbox,Xbox Series X 1TB,Xbox Series X 1TB,true,true,true,true,,11,true
model,Model,brand,xbox,Xbox Series X Digital Edition,Xbox Series X Digital Edition,true,true,true,true,,12,true
model,Model,brand,xbox,Xbox Series S 1TB,Xbox Series S 1TB,true,true,true,true,,13,true
model,Model,brand,xbox,Xbox Series S 512GB,Xbox Series S 512GB,true,true,true,true,,14,true
model,Model,brand,xbox,Xbox One X,Xbox One X,true,true,true,true,,15,true
model,Model,brand,xbox,Xbox One S,Xbox One S,true,true,true,true,,16,true
model,Model,brand,nintendo,Nintendo Switch 2,Nintendo Switch 2,true,true,true,true,,10,true
model,Model,brand,nintendo,Nintendo Switch OLED,Nintendo Switch OLED,true,true,true,true,,11,true
model,Model,brand,nintendo,Nintendo Switch,Nintendo Switch,true,true,true,true,,12,true
model,Model,brand,nintendo,Nintendo Switch Lite,Nintendo Switch Lite,true,true,true,true,,13,true
model,Model,brand,valve,Steam Deck OLED 1TB,Steam Deck OLED 1TB,true,true,true,true,,10,true
model,Model,brand,valve,Steam Deck OLED 512GB,Steam Deck OLED 512GB,true,true,true,true,,11,true
model,Model,brand,valve,Steam Deck LCD,Steam Deck LCD,true,true,true,true,,12,true
model,Model,brand,meta,Meta Quest 3,Meta Quest 3,true,true,true,true,,10,true
model,Model,brand,meta,Meta Quest 3S,Meta Quest 3S,true,true,true,true,,11,true
model,Model,brand,meta,Meta Quest Pro,Meta Quest Pro,true,true,true,true,,12,true
