field_key,field_label,depends_on,parent_value,option_value,option_label,required,filterable,allow_custom,lazy,unit,sort_order,active
make,Make,,,honda,Honda,true,true,true,true,,10,true
make,Make,,,toyota,Toyota,true,true,true,true,,11,true
make,Make,,,volkswagen,Volkswagen,true,true,true,true,,12,true
make,Make,,,chevrolet,Chevrolet,true,true,true,true,,13,true
make,Make,,,hyundai,Hyundai,true,true,true,true,,14,true
make,Make,,,nissan,Nissan,true,true,true,true,,15,true
make,Make,,,ford,Ford,true,true,true,true,,16,true
make,Make,,,fiat,Fiat,true,true,true,true,,17,true
make,Make,,,renault,Renault,true,true,true,true,,18,true
make,Make,,,jeep,Jeep,true,true,true,true,,19,true
make,Make,,,bmw,BMW,true,true,true,true,,20,true
make,Make,,,mercedes-benz,Mercedes-Benz,true,true,true,true,,21,true
make,Make,,,audi,Audi,true,true,true,true,,22,true
make,Make,,,volvo,Volvo,true,true,true,true,,23,true
make,Make,,,mitsubishi,Mitsubishi,true,true,true,true,,24,true
make,Make,,,kia,Kia,true,true,true,true,,25,true
make,Make,,,peugeot,Peugeot,true,true,true,true,,26,true
make,Make,,,citroen,Citroën,true,true,true,true,,27,true
make,Make,,,caoa-chery,CAOA Chery,true,true,true,true,,28,true
make,Make,,,byd,BYD,true,true,true,true,,29,true
make,Make,,,gwm,GWM,true,true,true,true,,30,true
make,Make,,,porsche,Porsche,true,true,true,true,,31,true
make,Make,,,land-rover,Land Rover,true,true,true,true,,32,true
make,Make,,,ram,RAM,true,true,true,true,,33,true
model,Model,make,honda,Civic,Civic,true,true,true,true,,10,true
model,Model,make,honda,Civic Type R,Civic Type R,true,true,true,true,,11,true
model,Model,make,honda,City Sedan,City Sedan,true,true,true,true,,12,true
model,Model,make,honda,City Hatchback,City Hatchback,true,true,true,true,,13,true
model,Model,make,honda,HR-V,HR-V,true,true,true,true,,14,true
model,Model,make,honda,WR-V,WR-V,true,true,true,true,,15,true
model,Model,make,honda,ZR-V,ZR-V,true,true,true,true,,16,true
model,Model,make,honda,CR-V,CR-V,true,true,true,true,,17,true
model,Model,make,honda,Accord,Accord,true,true,true,true,,18,true
model,Model,make,honda,Prelude,Prelude,true,true,true,true,,19,true
model,Model,make,honda,Fit,Fit,true,true,true,true,,20,true
model,Model,make,toyota,Corolla,Corolla,true,true,true,true,,10,true
model,Model,make,toyota,Corolla Cross,Corolla Cross,true,true,true,true,,11,true
model,Model,make,toyota,GR Corolla,GR Corolla,true,true,true,true,,12,true
model,Model,make,toyota,Yaris,Yaris,true,true,true,true,,13,true
model,Model,make,toyota,Yaris Sedan,Yaris Sedan,true,true,true,true,,14,true
model,Model,make,toyota,Hilux,Hilux,true,true,true,true,,15,true
model,Model,make,toyota,SW4,SW4,true,true,true,true,,16,true
model,Model,make,toyota,RAV4,RAV4,true,true,true,true,,17,true
model,Model,make,toyota,Camry,Camry,true,true,true,true,,18,true
model,Model,make,toyota,Prius,Prius,true,true,true,true,,19,true
model,Model,make,toyota,Etios,Etios,true,true,true,true,,20,true
model,Model,make,toyota,Hiace,Hiace,true,true,true,true,,21,true
